 train         node      observed        predicted
     y           17    2.000000E+05     3.708738E+05
     y           19    5.250000E+05     7.060558E+05
     y           17    3.360000E+05     3.708738E+05
     y           33    2.790000E+05     3.990938E+05
     y            7    8.000000E+05     9.370035E+05
     y           19    6.790000E+05     7.060558E+05
     y            7    8.500000E+05     9.370035E+05
     y           72    4.400000E+05     6.913100E+05
     y           73    5.300000E+05     5.120566E+05
     y           37    1.888000E+06     4.740929E+05
     y           53    1.166000E+06     1.152055E+06
     y           48    2.395000E+06     7.757435E+05
     y           37    4.200000E+05     4.740929E+05
     y           25    9.890000E+05     6.117883E+05
     y           25    8.790000E+05     6.117883E+05
     y           25    5.130000E+05     6.117883E+05
     y            7    2.222000E+06     9.370035E+05
     y           17    2.360000E+05     3.708738E+05
     y           17    5.400000E+05     3.708738E+05
     y           37    3.980000E+05     4.740929E+05
     y           19    8.300000E+05     7.060558E+05
     y           32    3.700000E+05     5.728587E+05
     y           17    2.600000E+05     3.708738E+05
     y           33    1.250000E+05     3.990938E+05
     y           73    3.680000E+05     5.120566E+05
     y           17    3.340000E+05     3.708738E+05
     y           48    4.140000E+05     7.757435E+05
     y           48    6.550000E+05     7.757435E+05
     y           73    3.780000E+05     5.120566E+05
     y           17    4.490000E+05     3.708738E+05
     y           17    2.800000E+05     3.708738E+05
     y           48    5.370000E+05     7.757435E+05
     y           33    2.000000E+05     3.990938E+05
     y           17    5.150000E+05     3.708738E+05
     y           19    5.120000E+05     7.060558E+05
     y           33    2.450000E+05     3.990938E+05
     y           37    2.900000E+05     4.740929E+05
     y           73    3.320000E+05     5.120566E+05
     y           33    3.110000E+05     3.990938E+05
     y           33    3.030000E+05     3.990938E+05
     y           48    6.300000E+05     7.757435E+05
     y           19    5.890000E+05     7.060558E+05
     y           53    5.500000E+05     1.152055E+06
     y           17    3.800000E+05     3.708738E+05
     y           73    5.200000E+05     5.120566E+05
     y           33    4.460000E+05     3.990938E+05
     y           17    2.550000E+05     3.708738E+05
     y           73    3.370000E+05     5.120566E+05
     y           17    1.840000E+05     3.708738E+05
     y           73    3.600000E+05     5.120566E+05
     y           37    3.200000E+05     4.740929E+05
     y           33    2.500000E+05     3.990938E+05
     y           48    7.300000E+05     7.757435E+05
     y           37    7.650000E+05     4.740929E+05
     y           48    4.650000E+05     7.757435E+05
     y           37    6.300000E+05     4.740929E+05
     y           17    3.270000E+05     3.708738E+05
     y            7    1.000000E+06     9.370035E+05
     y           17    2.440000E+05     3.708738E+05
     y           33    2.610000E+05     3.990938E+05
     y           25    6.780000E+05     6.117883E+05
     y           48    5.590000E+05     7.757435E+05
     y           32    1.950000E+05     5.728587E+05
     y           53    5.050000E+05     1.152055E+06
     y           17    1.990000E+05     3.708738E+05
     y            7    9.000000E+05     9.370035E+05
     y           17    2.300000E+05     3.708738E+05
     y           17    6.600000E+05     3.708738E+05
     y           33    4.500000E+05     3.990938E+05
     y           37    3.300000E+05     4.740929E+05
     y           33    2.580000E+05     3.990938E+05
     y           17    3.000000E+05     3.708738E+05
     y           32    5.040000E+05     5.728587E+05
     y           17    2.750000E+05     3.708738E+05
     y           19    6.900000E+05     7.060558E+05
     y           19    6.100000E+05     7.060558E+05
     y           33    3.580000E+05     3.990938E+05
     y           54    4.000000E+05     5.411277E+05
     y           53    4.000000E+05     1.152055E+06
     y           48    5.090000E+05     7.757435E+05
     y           32    3.460000E+05     5.728587E+05
     y           53    2.395000E+06     1.152055E+06
     y           37    4.100000E+05     4.740929E+05
     y           54    4.300000E+05     5.411277E+05
     y           17    5.290000E+05     3.708738E+05
     y           17    3.000000E+05     3.708738E+05
     y           55    1.450000E+06     6.720040E+05
     y           73    4.780000E+05     5.120566E+05
     y           53    3.390000E+05     1.152055E+06
     y           19    4.550000E+05     7.060558E+05
     y           73    3.250000E+05     5.120566E+05
     y           73    3.940000E+05     5.120566E+05
     y           33    4.900000E+05     3.990938E+05
     y           53    7.410000E+05     1.152055E+06
     y           37    3.070000E+05     4.740929E+05
     y           17    2.710000E+05     3.708738E+05
     y           37    4.080000E+05     4.740929E+05
     y           48    2.395000E+06     7.757435E+05
     y           48    2.395000E+06     7.757435E+05
     y            7    9.000000E+05     9.370035E+05
     y           32    3.580000E+05     5.728587E+05
     y           53    6.790000E+05     1.152055E+06
     y           53    4.920000E+05     1.152055E+06
     y           17    3.260000E+05     3.708738E+05
     y           32    2.000000E+05     5.728587E+05
     y           72    5.500000E+05     6.913100E+05
     y           48    2.890000E+05     7.757435E+05
     y           72    5.650000E+05     6.913100E+05
     y           48    5.250000E+05     7.757435E+05
     y           17    2.140000E+05     3.708738E+05
     y           37    4.900000E+05     4.740929E+05
     y           17    4.110000E+05     3.708738E+05
     y           53    8.010000E+05     1.152055E+06
     y           48    4.080000E+05     7.757435E+05
     y           19    4.000000E+05     7.060558E+05
     y           17    2.690000E+05     3.708738E+05
     y           17    4.640000E+05     3.708738E+05
     y           48    3.360000E+05     7.757435E+05
     y           73    5.420000E+05     5.120566E+05
     y           17    2.000000E+05     3.708738E+05
     y           37    2.920000E+05     4.740929E+05
     y           32    2.400000E+05     5.728587E+05
     y           37    3.220000E+05     4.740929E+05
     y           19    8.600000E+05     7.060558E+05
     y           17    1.700000E+05     3.708738E+05
     y           33    5.100000E+05     3.990938E+05
     y           17    3.970000E+05     3.708738E+05
     y           19    3.650000E+05     7.060558E+05
     y           17    1.940000E+05     3.708738E+05
     y           32    4.060000E+05     5.728587E+05
     y           32    3.040000E+05     5.728587E+05
     y           73    6.280000E+05     5.120566E+05
     y           19    1.200000E+06     7.060558E+05
     y           17    2.800000E+05     3.708738E+05
     y           33    2.250000E+05     3.990938E+05
     y           37    1.450000E+06     4.740929E+05
     y           73    5.810000E+05     5.120566E+05
