 train       observed       predicted
 y     3.810000E+05     3.934143E+05
 y     2.390000E+05     3.397279E+05
 y     6.850000E+05     1.104464E+06
 y     8.950000E+05     5.699140E+05
 y     5.390000E+05     5.036334E+05
 y     2.220000E+05     4.148587E+05
 y     5.980000E+05     7.168618E+05
 y     2.610000E+05     4.574735E+05
 y     7.790000E+05     6.088783E+05
 y     9.270000E+05     5.670508E+05
 y     4.400000E+05     5.695918E+05
 y     1.500000E+05     2.896259E+05
 y     7.880000E+05     5.456565E+05
 y     5.790000E+05     6.856015E+05
 y     1.500000E+05     3.534729E+05
 y     3.400000E+05     4.176936E+05
 y     2.395000E+06     9.527910E+05
 y     3.260000E+05     4.486474E+05
 y     8.270000E+05     5.755033E+05
 y     5.200000E+05     6.976998E+05
 y     4.780000E+05     7.507590E+05
 y     3.550000E+05     6.464403E+05
 y     2.900000E+05     4.206808E+05
 y     1.115000E+06     1.053796E+06
 y     1.300000E+06     1.058385E+06
 y     1.700000E+06     8.097142E+05
 y     4.280000E+05     5.707884E+05
 y     1.125000E+06     8.351014E+05
 y     4.710000E+05     4.719133E+05
 y     3.730000E+05     3.790527E+05
 y     6.680000E+05     6.930294E+05
 y     1.700000E+05     2.623309E+05
 y     8.040000E+05     5.936551E+05
 y     2.120000E+05     5.995420E+05
 y     5.050000E+05     5.247905E+05
 y     5.750000E+05     6.778992E+05
 y     3.050000E+05     2.840923E+05
 y     1.900000E+06     1.086580E+06
 y     5.450000E+05     5.820861E+05
 y     3.950000E+05     4.355389E+05
 y     7.980000E+05     1.070944E+06
 y     1.160000E+06     7.184631E+05
 y     5.000000E+05     4.318115E+05
 y     6.600000E+05     7.735988E+05
 y     5.470000E+05     5.106997E+05
 y     7.490000E+05     5.149324E+05
 y     8.830000E+05     5.863037E+05
 y     4.500000E+05     1.051104E+06
 y     3.850000E+05     5.040359E+05
 y     5.330000E+05     4.751335E+05
 y     2.500000E+05     3.379421E+05
 y     8.500000E+05     8.787960E+05
 y     2.700000E+05     2.775403E+05
 y     1.350000E+06     1.089097E+06
 y     2.800000E+05     4.123614E+05
 y     1.640000E+06     1.152428E+06
 y     2.500000E+05     3.910709E+05
 y     3.220000E+05     3.722186E+05
 y     2.790000E+05     4.068736E+05
 y     5.850000E+05     4.579628E+05
 y     7.000000E+05     6.791146E+05
 y     3.070000E+05     4.213937E+05
 y     7.810000E+05     6.987735E+05
 y     5.610000E+05     5.299070E+05
 y     2.395000E+06     1.177077E+06
 y     2.520000E+05     3.042907E+05
 y     3.950000E+05     5.513199E+05
 y     2.740000E+05     3.713373E+05
 y     3.240000E+05     3.266355E+05
 y     2.700000E+05     3.732879E+05
